company,answer,summary,luck,work,people
Bumble,"You know, luck is a funny word. I don't, I don't know if I'd call any of this lucky, cause I don't feel, you know, I think luck is probably a certain element, but if people think I just, you know, was at the right place at the right time and just snapped my fingers and twirled a couple of times and here's Bumble. I mean, they're really wrong. This has been, we're talking all day, every day, ups, downs, highs, lows, and, and laser focus.","Success is not attributed to luck but rather to hard work, dedication, and laser focus.",2,8,0
PODS & Red Rover,"Well. Yeah, I think being blessed and being cared for has gotten me along the way, I also believe I'm very lucky. I think that, you know, being at the right time at the right place, having the courage to take the chance, I tell people all the time, it's a great idea. Are you willing to walk away from everything to pursue it? You know, and I see my job seriously as just listening to your employees and your partners in the business and, and coming to an agreement. So we're all focused on the same goal line and showing the growth and sharing in the growth. You know, all my senior staff and many of my employees have stock in the company. So they're motivated to help grow. It's just doing the right thing for people doing the right thing in life. And, you know, having the willpower and the strength to take the chance.","Success is attributed to a combination of luck, hard work, and surrounding oneself with the right people.",4,6,5
Bonobos,"Luck is a concept that I thought of in a straightforward way for a while. And then when I converted to Judaism last February, I became acquainted with this concept of kismet, which is, I don't even pronouncing it right, probably, but it's kind of the intersection of luck and serendipity. And maybe even some measure of destiny. I don't want to go that far because I still don't know why really bad things happen to good people. So I think you've gotta be open in life to the way that the universe is trying to help you. The people who love you, who if you just listened to them and cultivate relationships with people who are direct will tell you what you need to hear. If it's not what you want to hear the same thing at accompany, the people along the way, your board, your investors, your employees, who know as a collective, what to do more so than you, but in combination. And you can unlock that. So I think if you bring self-awareness and you bring empathy and you bring positivity and you bring intellectual honesty and courage, you ultimately try to make good decisions. I think you can influence a lot, but I would attribute this outcome in this company at the end of the day to three things, to the quality of the people around me on all fronts, to the hard work of those people who, who really believed in this and made this happen, the team, and then a healthy, healthy dose of self-awareness in the pursuit of, of kismet. I am. I think that the two things that you're the two really big things that influence your life, the family that you're born into. And I don't know what I call it, that your DNA, the genetic stock, who, you know, who, how you show up as a creature, as a human being, you have no control over those two things. And so I feel like in life I was dealt. If we call it luck, you know, I don't want to say pocket ACEs. Cause I don't know what, how to think about my genetic makeup, but I was born into the most incredible family ever. And I was given the best of all opportunities, wanting for nothing educationally or experientially, the best mom, the best at the best sister. Now I've got the best wife. So with all that and all the amazing groups of people I've been around, I owe it to everyone to do something akin to this. And at the end of the day, the credit goes to them in so many ways.","Success is attributed to a combination of luck, hard work, and the quality of the people around them. The individual emphasizes the importance of self-awareness, empathy, positivity, and making good decisions.",4,6,7
PayPal,Question/Answer not found,Question/Answer not found,0,0,0
Numi Organic Tea,"I mean, I would say a lot of hard work, a lot of hard work. I mean, from when we started 30, I was 31. Those first 10 years was, you know, wake up at six, seven, stop working in 11 work on the weekends, demoing at stores, going to different events. It was just constant. You know, I think we had a lot of good breaks. You know, the Tazo was a great break. You know, we got a lot of good press hits. One time we were on the cover of a natural foods, publication that all of a sudden got us distributors. So we had a lot of good breaks. We were lucky because you know, our father helped us and he, he had worked hard and had made money. So it was a combination. Yeah. Oh man, I bet you, I mean, I'd say hard work is it took a lot of hard work. It took the first three, four or five years of 90, a hundred hour work weeks. Yeah. There were definitely some lucky moments that really helped us. And a lot of angels surrounded us. And I think those angels surrounded us because they cared. They saw what new means essence was about and they wanted to see us succeed. So to have those kinds of people with us that really believe in the journey, believe in the mission. I wouldn't say that's luck. I wouldn't even say it's hard work. I would say it's just an force that new me has been able to bring it's now its own living creature. It's way beyond Rima, NY it's way beyond our team. So yeah, I think it's been, it's amazing.","The individual attributes a significant portion of their success to hard work, with mentions of long hours and continuous effort. They also acknowledge the role of luck in receiving breaks such as good press hits and having supportive individuals around them. The support from people who believed in their mission was seen as crucial to their success.",4,8,6
Tatcha,"for sure not intelligence. I am no smarter than anybody else. I think when you start any company, the most important thing is to show up every day. You just you just have to you just have to keep showing up for the game. I did get very very very blessed with amazing people who believed in us when there was nothing to believe in and who stayed with us. So our scientists from day one or solar scientists today are packaging Partners from day one are still our packaging Partners today our Retail Partners Sephora who did Believe in Us in day one. I just couldn't afford to be with him until year five because it requires more investment. They're our best partners. Today so I I've been really blessed but I'm definitely not smarter. I'm definitely not more strategic and that's why I love what you do and that's why I love this podcast and I wish I wish it was around when I first started because it would have been my lifeline to believe in myself and it would have felt less lonely to do this.",The guest attributes a significant portion of their success to the people around them who believed in their company from the beginning and continued to support them. They emphasize the importance of showing up every day and acknowledge that their success is not due to intelligence or being smarter than others.,2,8,10
Primary,"Definitely a combination. I think examples for us of what has felt really lucky are, I mean, first of all, just meeting the right partner. A lot of people would like an amazing partner, but they're like, how do I find one? And, and you know, sometimes when you want to find one, you can't just go find one. And I think those moments that that hit you, that make you, that are just the spark of an idea. I mean those are just lucky moments. The fact that Galen's girls couldn't find the orange jackets, as annoying as that was at the time, was the, the spark, you know, of an idea that I don't know if we would've come to otherwise. And at the same time, I think we would certainly say in e-commerce in particular, if anyone thinks it's glamorous, it just isn't. And to be successful in e-commerce, I mean it is just a lot of grinding it out, a lot of like blocking and tackling how many more cliches can I use? It just, it just is. And so I think that there's no way that an enormous amount of hard work isn't necessary to be successful in this industry. I think we've just learned too how important timing is to whether something can work or not. And so I think probably on balance, I lean a little more luck as the answer. And I think too, so many founders and companies have like worked so hard and had a good idea and been really smart about it, but it just didn't quite work. And so I think, yeah, there's a little bit of like, we've, we've been lucky on the timing and some of the decisions that we happen to get right? 'cause I think the, the difference between like a company that makes it and a company doesn't often comes down to something like really small. So feel very lucky to be where we are.","Success is attributed to a combination of luck, hard work, and timing. Luck plays a significant role in sparking ideas and making key decisions, while hard work and perseverance are essential in the e-commerce industry. Timing is also identified as a crucial factor that can determine success.",6,8,0
WordPress & Automattic,"You have to work really hard, you know, and what I got from my dad, it's just, I'm going to work harder and I'm going to be impeccable. And WordPress started. I definitely wasn't the best programmer. I was like, I'm just going to work more than everyone else. And ideally work on something that you would do. It doesn't feel like work. I was working on something that I would want to do, even if I had all the money in the world. And every course, and a lot of the stories we talked about, there was a lucky break. I was very lucky to be introduced to Tony Schneider, who was like an amazing for CEO of the company. I was lucky to have investors that like supportive of us, doing things differently and building something a different way than all the other companies at the time. So that is, that's a lot of luck to be honest. And then one fortune comes when an opportunity is there. They're able to really capitalize on it.","Success is attributed to a combination of hard work, luck, and the support of people around them.",7,8,5
Pitchfork,Question/Answer not found,Question/Answer not found,0,0,0
Patagonia,Question/Answer not found.,Question/Answer not found.,0,0,0
Tempur-Pedic,"well I think a lot of its luck. I think it's the combination of perseverance, you know. I'm going to pat myself on the back; it's for I kept trying. I mean different things, you know. I had the ionizer business and the horses, and you know, I'm definitely not smarter than other people. I think I'm a risk taker, and I got very fortuitously matched up with a product that was significantly better than what was out there, and it was something that no one else had. Yeah, so I think perseverance combined with luck is what got us where we wanted to be.","The guest attributes a lot of their success to luck, combined with perseverance and being a risk-taker. They mention being matched up with a unique product that no one else had, leading to their desired outcome.",8,2,0
Dude Perfect,"We are perfectionists, right? We all are. And we are all willing to put in that extra effort and whatever piece of the process you can imagine. I mean, just the other day, as an example, we launched a new book recently. And so we did kind of a contest giveaway, and we did this big film project in order to make it happen. And we put a lot of time and effort into it and we edited it and we looked at it and we said, I don't like the way it looks like it's okay. No one would really bat an eye at it, but that's not the vision that we had. And we, we went and we redid the whole thing. Right. So that's just so classic dude. Perfect. We have this bar that I think is a lot higher than what most people imagine. It would be at least online. So on the hard work side, I mean, I'm not gonna lie. Like we, you know, we try hard, we take it seriously. It's the most fun thing ever. So we don't take it too seriously, but we take the opportunity that we have with it seriously. And you know, if we can spread a little bit of hope and joy in that sense, that's a huge win. How about you telling, I mean, there's no question that we've all put in a, a lot of work, but I think we would still be putting in that work. I mean, I was putting in that work when I was doing landscaping, our personalities have always like, the way we were raised is, you know, you've got to work for, for something it's not just going to be handed to you. And so I think we tend to look at it, maybe not so much of luck, but more so that God has blessed us with this platform for a reason. And even if it's just as simple as providing content for families to sit down and watch together, I think we, we hope it minimum. Like that's what we can provide for people. And I don't tend to look at it as luck, but I think it's been a huge blessing to be able to have a platform like that. I mean, it would be a waste if at the end of this, it was like, oh, okay, well, we made some funny videos on this website called YouTube that may or may not be around in 50 years. And I think we all hope that there's a little bit more meaning and a little bit more purpose behind do perfect than that. When this is all said and done.","The success of the individual is attributed to hard work and dedication, with a focus on maintaining a high standard of quality in their projects. They believe that their success is more of a blessing than luck, as they see it as a platform given to them for a purpose of spreading hope and joy.",2,9,4
Food52,"Yeah, I think it's really a blend of all of that. I definitely believe in luck, and I think you have to show up in order to be there to be lucky. And so that kind, like, they're all tied, right? They're all to me like so tied together. I even think, you know, like my birth order has a big impact on what you end up doing. Like I was the last child, you know, in my siblings were all born right in a row. And then there was a five year break, and then I was born. And so like, I mean, the joke in the family is that I was the mistake, but because my parents had sort of been done with parenting, they took much. I was sort of like, this kind of fun, oh right, you know, parenting is fun and it's interesting and now we have more time to pay attention to you. And like, so I think that that had a big influence on my feelings of that I, that I could do things and that I was empowered and that I didn't have to follow all the rules and, you know, and I think that really kind of fed into my entrepreneurial side.","Success is attributed to a blend of luck, hard work, and the influence of birth order on empowerment and entrepreneurial spirit.",5,5,5
Burt's Bees,"Well, I was born on July 11th, which is seven 11 hot. So I have felt lucky for a long time. I mean, you certainly have to work hard, but when I look back at some of the critical events that were part of the destiny of this adventure, I certainly couldn't have pulled those off that had to be luck or divine intervention. And there's been so many of those, the right people came to me at the right time. So that has got to be luck.","The guest attributes a significant portion of their success to luck, mentioning that critical events and meeting the right people were due to luck or divine intervention. They also acknowledge the importance of hard work in achieving success.",8,7,5
Politico & Axios,"I just feel like people don't credit luck enough. That's why, why I hate the great man stories. These one person visionaries who willed something into existence that's bullshit. Like nobody wills something into existence alone. You have a lot of people who are helping you, who've helped you in the past, who are helping you in real time to do the impossible. And I don't think people appreciate luck of just being in the right place at the right time of having an idea that works now, that might not work tomorrow or might not have worked yesterday of running into the right co-founder. Like if I don't ask Jen Hurley, who's was working in our finance department about where she's going and she had not told me, oh, I'm going skiing with this guy Roy Schwartz, who's really interesting and you should talk to him about business. He's just a smart guy. Like that's pure luck. Like how did I have that conversation with her? And she pointed me to Roy, if we didn't have Roy Schwartz, Axio wouldn't have existed. Hmm. Or how do I end up on the Lido deck in Genoa, Italy during the trade protest when I'm working at the Wall Street Journal and I turn to the person next to me at 4:00 AM who looks at me and says with his beer in his hand for speed. And it's Mike Allen wanting to see who can slam a beer faster and starts a lifelong friendship. How do we have a spark of an idea to start Politico? And it just happens to be at that very moment the Internet's taking off and cable has an insatiable appetite and we happen to run into the right mix of reporters that can bring it into existence. Like so much of that is luck and it's perishable and I just don't feel like people appreciate that enough.","Success is attributed to luck, the people around them, and the timing of events rather than solely skill and hard work.",8,2,10
Tofurky,"That's a good question. Certainly luck and timing come into play. I was lucky enough to jump on this jet stream of natural foods that was just starting up in the 1980s and nineties, and then helping blaze a trail for other meat, alternative companies that come on now. But a lot of it is just persistence and hard work and trying to be less stupid.","Success is attributed to a combination of luck, timing, persistence, hard work, and being less stupid.",5,5,0
Famous Dave's,"Well, I don't know about luck. I wish I'd been lucky, you know, you know, I think luck is created when you have a dream you're willing to work for that dream you're willing to work hard. You know, I think luck is a byproduct of you just being a hundred percent devoted to never ever giving up.",Success is attributed more to hard work and dedication rather than luck.,2,8,0
S'well,"You know, I think it has to be both, you know, I would say that it absolutely has been hard work. It's been a lot of hustle, you know, no one's ever going to outwork me and I live for swell and this is really been my life's work these last 10 years, but I have to say luck has played, you know such an incredible role in our success. I was lucky to be born to parents who are entrepreneurs, you know who taught me the power of hard work and positive thinking and doing the right thing. I was born in a country and a society that values education for girls and I went to Great Schools and I have a network of friends who supported me on this journey and the power of timing was so lucky, you know, I started swell because I had a personal mission to eliminate single-use plastic bottles, but at the same time, I started the company there were so many people around the world waking up to the issue of climate change and global warming and how they potentially had the need to take personal action. And so yes, it's been a lot of work, but all of the stars aligned in a really lucky way for that work to have turned into something.","Success is attributed to a combination of hard work and luck, with a significant emphasis on luck due to various fortunate circumstances such as upbringing, societal support, and timing.",8,7,9
Radio One,Question/Answer not found,Question/Answer not found,0,0,0
Health-Ade Kombucha,"It's definitely not zero luck, the initial number that came up was 20% luck. That's what I wanted to say. I would say it's 80% grit. There's definitely moments of blessings. You know that ride along with Vanessa, Health-Ade would not be where it is without Vanessa. That is a blessing, you know the phone call from the farmers market just when we needed investment, the guy that chose to buy a Health-Ade and called us and said we wanted to invest, many of those types of things are hard to explain and there's more of that. But even in those, all those examples, you get a card dealt to you. It's not the whole deck, you get a card. You still have to do something with that card, you have to take it and run with it. And without that grit, that card's just a card and it flies away. So yeah, I would say it's 80% hard work, 80% pushing through and just like doing it when no one else would.","Success is attributed to a combination of luck and hard work, with a focus on grit and seizing opportunities. Luck plays a role in providing opportunities, but it is the hard work and perseverance that ultimately lead to success. The support of people and network also plays a significant part in achieving success.",2,8,5
Allbirds,"You know, along the way, whether it be meeting Joey, all the different characters along the way that popped up seemingly at the right time, you can't call that anything other than, than luck. But there was a lot of different off ramps along this journey where if you were logical and rational, you would've stopped. And for whatever reason, we've kept going. And when it just seemed like it was impossible, we've managed to find a different solution and keep on going a little bit and you need that. And if we've had any luck, if I've had any luck personally, I mean, I think we've been given an enormous leg up with our families and with our mom and dad and now with our wives and that was a loving household, that valued education that encouraged us to go and take risks and do what we wanted to do. And not everyone has that. And it's been an enormously important part of the journey because I think we've leaned on them right now. I have at key moments, very, very heavily to keep on going. Yeah, I think they're inextricably linked. I've always thought of luck as some random event happening to you, but that happens. And then what are you gonna do with it? And I think we've had the good fortune together to have great timing across a whole host of things. Like we could start a business and put up a website in seven months and reach 10,000 people in a week. But we also seized and capitalized on that opportunity and we worked super hard and made some good decisions along the way to turn that luck into something that was really positive. So I just think you can't really separate those ideas or that construct. And fortunately, we've had a good bit of both.","Success is attributed to a combination of luck, hard work, and the support of family and network.",5,7,8
Angie's BOOMCHICKAPOP,"I knew this question was coming. I love it. You know, guy, I think there there's a ton of good fortune that has come our way. People have been so embracing and kind and helpful in so many ways. So many people, this crowd is the reason we're up here, but I, I, we put a lot of energy into creating an environment that was about giving to the consumer giving to the customer. I think there's some skill in that. I think I was blessed with the ability to interact with people and build rapport pretty quickly. And I knew the importance of that. And Anne had so many other gifts, the marketing side, the creative side, the initial finance side, that we were able to understand our talents and pull it together. And, you know, no doubt there was good, fortunate luck that comes your way at the right time. Things happen, a credit card mailing comes in and I mean, it's, there is there's luck involved in this. And we were just fortunate at the right time. We made some good decisions and rebounded well from some bad decisions. Angie Boy, you know, I've seen a lot of really good people work just as hard as us or harder and not experience the same good fortune that we've had. And so I, I think it does take, I mean, we made a conscious effort to create Goodwill and positivity. And when you do that, I believe that that comes back to you, but you can't do it without hard work.","Success is attributed to a combination of luck, hard work, and the support of people around them.",5,7,8
Seventh Generation,"Well, there's no question that you have to be a little lucky to be successful. I don't think anyone is successful without a fair measure of luck, but I, I attribute a lot of my success to my unwillingness to give up to no matter what challenge I'm facing, no matter how things are bad things. Look, I'm glad that I have have not given up and I've stuck with it. And if you don't have that passion, if you don't have that love for what you're doing, you won't make it through the hard times. You won't be around to experience the luck that might be waiting out there for you. All three, you know, I got lucky numerous times. I got lucky when I took a good, a job at gardens for all that took me on a ride. And it really taught me the, the catalog business, which then took me on my next bride through Seventh Generation and neither one of those was planned, you know? So were they lucky? I don't know I was in, I was in play. So I had the opportunity to see the opportunities and say yes to them. And then I think you make your own luck. I think once you say yes and, and Jeff's ability to continue. I mean, it's one of the things that I was marveled that, you know, when things were looked impossible, Jeffrey would just dig in and grunt through them. That causes luck to happen to you because you stay in play and it's your ability to climb those mountains. And then when you see an opportunity to be able to move on those opportunities, which other people would then call luck","Success is attributed to a combination of luck, hard work, and seizing opportunities. The guest emphasizes the importance of not giving up, having passion for what you do, and being able to recognize and act on opportunities that come your way.",5,5,5
The Knot,Question/Answer not found,Question/Answer not found,0,0,0
Lush Cosmetics,Question/Answer not found.,Question/Answer not found.,0,0,0
Kinko’s,"Oh, more luck. Luck has a lot more to do with life than we might think. And it also followed my strong suit, which was, I, I can't sit still. I'm extremely restless. That went to my strong suit and it goes to my outlook of life. Dan Frederickson had a quote for me once that I really liked. No one goes to work to do a bad job. People go to work to do a good job. It's up to you as an owner to want that. I told you about our customers and our workers' relationship and how fulfilling that was. So I attribute a lot of what I have to luck to a business that went to my strong suit and my outlook of life. I think people are basically honorable and decent and trustworthy, and the world is a wonderful place to live in. And you're not gonna make money with a sinister view of humanity.","The guest attributes a lot of their success to luck, mentioning that luck has a significant impact on life. They also emphasize the importance of their strong suit, work ethic, and positive outlook on life. They believe in the inherent goodness of people and the fulfillment that comes from meaningful relationships with customers and workers.",8,7,8
Minted,"I think so much of it is luck. I mean think about what would have happened if I had not been able to leave Iran, right? How many people are in areas around the world where they can't escape what the situation that their governments are creating for them. Think about all those talented people who won't ever have a chance and and I guess I would say the other thing is just sheer wanting it very badly, right? I mean, there are a lot of people who are smarter than I am. And I think it's just I really focused in on something. I'm happily extremely passionate about and love to think about all the time and I would say that's luck and passion probably outweigh the raw skills.","Success is attributed mostly to luck and passion, outweighing raw skills.",8,2,0
LÄRABAR,"I mean, I feel lucky that I have opportunity in my life. And I and that I've surrounded myself with people that care about me and that you know along the way when people thought I was completely out of my mind for starting an energy bar company. I remember thinking to myself, you know, you need to surround yourself with people that believe in you, it's really important. And actually I remember thinking to myself. I have more to lose if I don't find out then I do if I try this and it doesn't work and I'm so glad that for whatever reason I had that in my mind because it compelled me to move forward and make Lumber happen.","The success is attributed to a combination of luck, hard work, and the support of people around them.",4,6,7
Beautyblender,"I think there's both. And by the way, I'm not, I've been with, I have a wonderful man in my life. His name is Rory Nicks and he's been, we've been together for almost 28 years now, but we're not married and we have our son together. But luck is what, what did they say about luck? It's preparation, meeting timing or some, there's some basically saying there's no such thing as luck. It's all yeah. Movement and preparation. But I do believe in luck and I believe in God. You know, I believe that, not to sound too woozy, woozy, but you know, I went through a lot of things in my life that were kind of unfair and I just hustled and worked hard. I didn't dwell on it too much. I just, yeah, just worked hard. And I feel like it's, it kind of comes full circle, you know? So I attribute a lot to the grind.","The guest believes that both luck and hard work play a role in success. They mention the importance of preparation, timing, and movement in relation to luck. Additionally, they emphasize the significance of hustling, working hard, and not dwelling on unfair situations.",5,8,0
The Life Is Good Company,"A lot of luck? I think we stumbled into something that's much bigger than we are. I think we've been resilient, you know, maybe more resilient than smart, but it's a good 50% luck. Right place, right time, to percent skill and then we've worked our asses off. So that's played a big factor too, so, you know, maybe there's all those parts are equal.","Success is attributed to a combination of luck, skill, and hard work, with luck playing a significant role.",5,2,3
Kona Ice,"I, I, listen, there's a lot of smart people, a lot of people that work hard. You know. So luck plays a huge role in it. You know. I, I don't know. I think I'm a good student of life. I pay attention. I see where the problems are. What's the solution to fix the problem? I wish this for my kids. I admire this in other people is who's a good student of the game? Yeah. Or this good student of life. Yeah. I'm glad I was there. I'm glad my sleeves were rolled up. I'm glad, I'm glad I was working my butt off. But you know, I've been so lucky to get around great people and, and have a family that has been involved and stuck with me. And you know I've been married 31 years and you know you're a serial entrepreneur. A 31 year marriage is probably my greatest accomplishment because the ups and downs of that is remarkable.","Luck plays a significant role in success, but hard work, skill, and having a supportive network of people are also crucial factors.",7,6,7
Wayfair,"Okay. Well, it's obviously a bit of both. I don't know that there are dramatic intellectual skill differences in humans in general. So I think it tends to be, you know, your ability to focus and keep doubling down on your own, believing in yourself and your work ethic, and continue to focus on a narrow enough set of things you can win in. And we've been good at kind of staying focused on that and not listening to the other people who would tell you to go try and do other things. You know, serendipity and luck always play a little bit of a role, right?","Success is attributed to a combination of hard work, focus, belief in oneself, and a bit of luck and serendipity.",3,7,0
Robinhood,"Yeah. Or, or maybe we all live in a simulation, and this is just one of an infinite number of realities that I ended up picking. Right.",The guest provided a philosophical response suggesting the possibility of living in a simulation with infinite realities.,5,0,0
Tumi & Roam Luggage,"Well, I think, I think we've had plenty of luck along the way. Guy. I think that, you know, meeting the right people, being in the right moment, hiring the right people, or being lucky enough to be exposed to talent, that there is an art and a science to hiring people, I think would be the best way to express it. And part of that art involves luck. We were lucky to meet the Rice brothers in Savannah. Larry Lee was a stroke of luck. If I hadn't attended that industry event, I'd never would have met Larry. So I think that if an entrepreneur or a business person always wants to be the smartest person in the room, I think their, their opportunities are limited. I always took great pleasure in being able to find people who had different skillsets and were smarter in the areas that they were strong with than I was. I think that that's how you get one-on-one and come up with three.","Success is attributed to a combination of luck, hard work, and the people one surrounds themselves with.",6,8,6
Vuori,"I think every little piece of that is a part of a big equation. I don't think there's one thing that defines our success. All those things that maybe have felt like defeat in the moment. When I look back with hindsight, I realize they were the biggest blessings and I, I didn't do this alone. You know whether Nikki and Rebecca in the early days You know Chris and the formation of the idea, like so many incredibly talented human beings that are still so close to me today. I think it all plays a part. The one constant is you have to work hard because luck might open a window or a door, but it's the hard work and the preparation that allows you to walk through it.","Success is a combination of luck, hard work, and the people around you.",4,6,5
reCAPTCHA and Duolingo,"I was definitely lucky. I mean, I'm launching an app at the time we launched the app was exactly the right time and launching an app in late 2012 was a really good time to launch an app.",The success of launching an app in late 2012 was attributed to luck.,8,2,0
Briogeo,"I think it's the latter plus something else. You didn't mention. I don't ya luck sometimes happen but luck is not what this is about because that means I would have struck luck over and over and over again and luck is more of a random thing. Yeah, I think this is all about the hard work and the time that I've put in as you mentioned, but there's also a mindset of believing in myself that I've established that I think is probably the Biggest attribute towards succeeding in anything that you put your mind to","Success is primarily attributed to hard work, time investment, and a mindset of self-belief, with minimal emphasis on luck.",2,8,0
Gimlet Media,"I think it's mostly luck but not in the obvious way. Like I think for me it was the luck of being born into the family I was born into at the time that I was, so I had the luck of being in a family where my parents sent me to college and then were in a position to financially support me so I could do unpaid internships producing radio because that was my passion, and then they also sent me to business school. And that is like an extreme level of privilege. And then the other forms of luck are having met Alex when I did and having really good timing on the idea of starting a podcast and audio company in 2014.","Success attributed mostly to luck, specifically being born into a privileged family, having financial support for education and internships, and good timing for starting a business.",8,2,8
The Laundress,"It had to do with the success of how hard we work the success came from the hard work luck, you know, we carved out. We just we went into an industry like we disrupted a multibillion-dollar industry. I mean we definitely were ahead of our time and you know and pioneering a product that didn't exist. Yeah, I think I don't know. It depends on your definition of luck. I think you create your own luck.",The success is primarily attributed to hard work and being ahead of their time in disrupting a multibillion-dollar industry.,3,8,0
Evite,Question/Answer not found,Question/Answer not found,0,0,0
Airbnb,Question/Answer not found,Question/Answer not found,0,0,0
Jack Black Skin Care,"I believe in luck. I'm a lucky guy. I was lucky to have met Curran. She changed my life. We were lucky to have Emily as our business partner. I think we were lucky to open some of the retailers that we opened. But also, you know, we worked extremely hard. you know, it seemed like we were always working. It, it just seemed like for 18 years there, that, that we didn't have a lot of downtime, but we were lucky. I think we were very lucky. But if we hadn't been resilient and pivoted when we needed to and worked hard, then I think we wouldn't have capitalized on the luck. So you gotta have, I guess all of it firing on all cylinders.","Success is attributed to a combination of luck, hard work, and the people around them.",7,8,5
Drunk Elephant,"I worked really, really hard. And also you have to have all of these stars aligned at the same time. You've gotta have, you've gotta hit it on so many different levels. You have to hit it on the, the name, you have to hit it on the packaging, you have to hit it on the formulations, you have to hit it on the timing. You have to hit it on the people. And I got really blessed and lucky on all of that, even the logo. But anybody who you ask will laugh and say, you didn't get lucky. You worked your ass off. It's all I saw you do. I mean, I would travel with a girlfriend and at 5:00 AM she'd see me under the covers. Like secretly, like we would get two double beds in a PO and I'd be under my covers emailing and working and she'd see the little light with the phone on. You know, I worked every waking moment I could that I wasn't with my kids. I sat and worked until they needed dinner or they needed to be picked up or they needed the laundry done, or they need, you know, I was there on the computer all the time. And so I, I think that that's what it takes. It just doesn't feel like hard work when you're on the right path. It doesn't feel, I look back and I think that was so fun. What a blast I had. I didn't even wanna get up for lunch and I, I didn't wanna fall asleep at night and it worked out. Thank God.","Success is attributed to a combination of hard work, luck, and the support of people around them.",7,10,8
Luke's Lobster,"I mean, there's no denying that there was a lot of luck involved. I mean the fact that I happen to be trolling Craigslist that very particular night as we said and you know, the fact that there happened to be this recession that gave us the ability to hire such wonderful people, to get that lease, to get that first location, to do what we did. You know, there was there's so much luck that that undergirds all of it. But you know as a team, it's what you do with kind of the luck that you're given.","Success is attributed mostly to luck, with the opportunity provided by external factors such as a recession and being in the right place at the right time. However, the individual and their team's actions with the luck given also played a significant role.",8,2,7
Rick Steves' Europe,"Oh, I think a lot of it is how hard I work. I just I've dedic I've basically I've I'm not at all complaining about it, but I've given my life to this business. I I've always worked on Saturday. I work every night till 10 o'clock. So I'm loving my work, but not everybody can love the work the way that I'm, I'm blessed to love the work I've I've I believe in what we're doing and I got my name on the cover and I'd like to be, America's a traveling Guinea pig. I like to make mistakes, take careful notes and to come home and help people learn from my mistakes rather than their own. So they can have a better grip",The guest attributes a lot of their success to hard work and dedication to their business. They believe in what they are doing and are passionate about learning from their mistakes to help others.,2,9,0
FUBU,"Very hard. I always contradict myself because I don't believe that there is anything such as luck. I would just believe it's determination and drive meets opportunity. But when I look back and I sit there and I say, see who I am. You know, on this national platform able to change lives, father of three, and a Pisces. I say to myself, wait a minute, you know, something's got to have blessed me in various different ways. And that's why I work so hard to try to pay it forward to other people because it's got to be some kind of luck. I don't know why I was chosen. I have no idea, but a lot of it is determination, drive, but I think there is a bit of luck on what's going on in my life.","The guest believes that a significant part of their success is attributed to determination, drive, and the opportunities they encountered. They also acknowledge that there may be an element of luck involved in their achievements and feel blessed in various ways.",4,7,0
Expedia & Zillow,"Yeah, I mean, I'm a grateful guy. I feel like I have been consistently lucky to team up with such an insanely smart and hardworking bunch of people who kind of who knew, who knew magic, that, that I didn't necessarily know. And that I've always been good at painting a mission that was exciting that I felt I was passionate about. And so passionate leaders have come to join the team, but there's really, I'm having so much fun doing this. We really are on the cusp of changing the biggest industry there is. And I am lucky. I'm not just being coy. When I say I really love what I'm doing and I have no plans to do, to do anything else.","The guest attributes a significant portion of their success to luck, as they feel lucky to have teamed up with smart and hardworking individuals who brought magic to the table. They also highlight their skill in painting an exciting mission that attracted passionate leaders to join their team.",7,3,9
BlocPower (2022),Question/Answer not found,Question/Answer not found,0,0,0
Bobbi Brown Cosmetics,"I think that my intelligence is mostly emotional intelligence, which is, you know, dealing with what's around me. I am incredibly lucky and, you know, fortuitous and grateful and all of those things. I'm not the only one that works hard. I am not the only one that seizes opportunities. I don't know why, you know, things I do are successful and not everything I've done is successful, but I keep going. And I'm really good when I'm really good at, and I hope there's other entrepreneurs out there that understand this. I am really good at hiring people that are good at things that I'm not, Cause I'm not good at everything. And I'm not. I told my aunt Alice, I'm not really good at anything. I'm just Going to tell him people what to do. I'm really good at telling people what to do.","The guest believes that a significant part of their success is due to luck, but they also acknowledge the importance of hard work, seizing opportunities, and having a good team around them.",6,8,7
Biofire,Question/Answer not found,Question/Answer not found,0,0,0
Boston Beer Company,Question/Answer not found,Question/Answer not found,0,0,0
JetBlue Airways,"Well, I think obviously you have points of luck, but I think you make your own luck to a great degree, you know, add peoples. And I, I tell people this that have add embrace it, it's you and it's who you are and take all the good from it. And my form of add has it, I have an ability to just look at a situation that's very complex and simplify it and say, let's just do it this way. And it drives my teams crazy. Cause they're like, no, it's not that simple. I'm saying, yes, it is just go do this, this and this, and we'll have it solved. And so, you know, sometimes it's not that simple, but you know, that's just who I am and that's how I'm wired. I can look at a situation and, you know, I can, I can see solutions. And so rather if it was in the airline business or any other business, I think I would have probably had that skill. And, but, you know, certainly the airline business has been my ticket to a lot of exciting times in my life. And there's, you know, there's nothing like sitting in a cockpit landing, an airplane and a 4,800 foot runway in Rio de Janeiro to give you a thrill and knowing that that's your plan and your people and your happy customers on board it's, it's, it's quite a thrill.","Success is attributed to a combination of luck and hardworking skill, with an emphasis on the individual's ability to simplify complex situations and find solutions.",4,6,5
